gvkey,tic,cusip,cik,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001240,ABS.1,013104104,0000003333,P,01,LU,50032,20038,1970-02-10,2006-06-30
001241,6584B,013325105,,P,01,LU,11608,7161,1984-08-01,1989-06-30
001242,2873B,013655204,,P,01,LC,11616,186,1979-01-31,1980-06-27
001243,AL.1,013716105,0000004285,C,00X,LC,24264,20039,1950-05-31,1962-01-30
001243,AL.1,013716105,0000004285,P,01,LC,24264,20039,1962-01-31,2007-11-14
001244,ALCD.,013742507,0000708484,P,01,LC,11624,5686,1983-05-26,2004-07-30
001245,ABC1,03071N008,0001476003,P,02,LC,85244,7691,1985-08-15,1989-10-31
001246,IKN,451713101,0000003370,P,01,LU,48514,20040,1969-06-16,2008-10-31
001247,ALC.1,013880109,0000003379,P,01,LU,56282,25506,1972-12-14,1981-03-31
001248,ALB.1,013896105,0000003382,P,01,LU,53321,25311,1971-10-04,1978-01-31
001249,4306B,013900204,0000351537,P,01,LU,11659,154,1981-09-08,1985-05-31
001250,ADNE,014086102,0000003398,C,01,LC,85252,7371,1985-01-07,1997-01-13
001251,2904B,014419105,0000003417,P,01,LU,48733,174,1978-01-31,1981-02-27
001251,2904B,014419105,0000003417,C,00X,LU,48733,174,1974-01-01,1978-01-30
001252,ALDC.,014428106,,P,01,LU,11683,155,1972-12-14,1975-07-31
001253,AAL.1,014476105,0000003449,P,01,LU,63845,4,1972-12-14,1997-02-28
001254,MATX,57686G105,0000003453,P,01,LU,11691,157,1972-12-14,E
001255,AEOK,014617203,0000355143,P,02,LC,11704,5198,1981-11-19,1996-08-29
001257,ALX,014752109,0000003499,P,01,LU,49330,20041,1969-10-07,E
001258,CGYNQ,13916P209,0000354767,C,01,LC,11712,5261,1982-02-17,1983-10-28
001259,ACEL.,87509Q105,0000708717,C,01,LC,11739,35,1996-12-05,1999-04-27
001259,ACEL.,87509Q105,0000708717,C,00X,LC,11739,35,1983-08-01,1984-01-30
001259,ACEL.,87509Q105,0000708717,C,01,LC,11739,35,1984-01-31,1986-11-04
001259,ACEL.,87509Q105,0000708717,C,01,LC,11739,35,2004-09-09,2009-01-05
001260,AFN.2,007361108,0000724989,P,01,LU,69171,6397,1983-09-20,1998-12-31
001261,ALAQE,015599103,,P,01,LU,11755,165,1979-09-26,1984-04-30
001263,ASTL,015658107,0001860805,P,07,LC,22182,58827,2021-10-20,E
001263,ASTL,015658107,0001860805,P,01,LC,81765,28041,1995-07-14,2000-11-30
001264,3ALGD,015867104,0000003535,C,01,LU,11763,164,1979-01-31,1992-03-11
001264,3ALGD,015867104,0000003535,C,00X,LU,11763,164,1973-07-01,1979-01-30
001266,ALCO,016230104,0000003545,P,01,LU,11790,153,1972-12-14,E
